company,director,genre,name
Columbia Pictures Corporation,Rob Reiner,Adventure,Stand by Me
Paramount Pictures,John Hughes,Comedy,Ferris Bueller's Day Off
Paramount Pictures,Tony Scott,Action,Top Gun
Twentieth Century Fox Film Corporation,James Cameron,Action,Aliens
Walt Disney Pictures,Randal Kleiser,Adventure,Flight of the Navigator
Hemdale,Oliver Stone,Drama,Platoon
Henson Associates (HA),Jim Henson,Adventure,Labyrinth
De Laurentiis Entertainment Group (DEG),David Lynch,Drama,Blue Velvet
Paramount Pictures,Howard Deutch,Comedy,Pretty in Pink
SLM Production Group,David Cronenberg,Drama,The Fly
Rimfire Films,Peter Faiman,Adventure,Crocodile Dundee
Thorn EMI Screen Entertainment,Russell Mulcahy,Action,Highlander
Twentieth Century Fox Film Corporation,David Seltzer,Comedy,Lucas
Twentieth Century Fox Film Corporation,John Carpenter,Action,Big Trouble in Little China
De Laurentiis Entertainment Group (DEG),Michael Mann,Crime,Manhunter
Producers Sales Organization (PSO),Adrian Lyne,Drama,9½ Weeks
De Laurentiis Entertainment Group (DEG),Stephen King,Action,Maximum Overdrive
"Geffen Company, The",Frank Oz,Comedy,Little Shop of Horrors
New Century Entertainment Corporation,Mike Marvin,Action,The Wraith
Universal Pictures,Willard Huyck,Action,Howard the Duck
New Line Cinema,Stephen Herek,Action,Critters
Orion Pictures,Alan Metter,Comedy,Back to School
Cannon Films,Tobe Hooper,Comedy,The Texas Chainsaw Massacre 2
Jay Weston Productions,Clint Eastwood,Action,Heartbreak Ridge
Paramount Pictures,Leonard Nimoy,Adventure,Star Trek IV: The Voyage Home
TriStar Pictures,John Badham,Comedy,Short Circuit
Neue Constantin Film,Jean-Jacques Annaud,Crime,The Name of the Rose
TriStar Pictures,Sidney J. Furie,Action,Iron Eagle
Paramount Pictures,Michael Ritchie,Action,The Golden Child
Hemdale,Tim Hunter,Crime,River's Edge
L.A. Films,John Landis,Comedy,¡Three Amigos!
Warner Bros.,George P. Cosmatos,Action,Cobra
Gaumont,Jean-Jacques Beineix,Drama,Betty Blue
Warner Bros.,Roland Joffé,Adventure,The Mission
Touchstone Pictures,Martin Scorsese,Drama,The Color of Money
Columbia Pictures Corporation,John G. Avildsen,Action,The Karate Kid Part II
Lorimar Productions,Nick Castle,Drama,The Boy Who Could Fly
HBO Films,Robert Harmon,Thriller,The Hitcher
Amblin Entertainment,Richard Benjamin,Comedy,The Money Pit
Paramount Pictures,Tom McLoughlin,Horror,Jason Lives: Friday the 13th Part VI
The Saul Zaentz Company,Peter Weir,Adventure,The Mosquito Coast
Universal Pictures,Don Bluth,Animation,An American Tail
Initial Pictures,Alex Cox,Biography,Sid and Nancy
De Laurentiis Entertainment Group (DEG),John Guillermin,Action,King Kong Lives
Empire Pictures,Stuart Gordon,Horror,From Beyond
TriStar Pictures,Francis Ford Coppola,Comedy,Peggy Sue Got Married
Freddie Fields Productions,Brian Gibson,Horror,Poltergeist II: The Other Side
Empire Pictures,John Carl Buechler,Comedy,Troll
Metro-Goldwyn-Mayer (MGM),Peter Hyams,Action,Running Scared
Hawn / Sylbert Movie Company,Michael Ritchie,Comedy,Wildcats
Maljack Productions,John McNaughton,Biography,Henry: Portrait of a Serial Killer
ABC Motion Pictures,Harry Winer,Adventure,SpaceCamp
Orion Pictures,Woody Allen,Comedy,Hannah and Her Sisters
Walt Disney Pictures,Ron Clements,Animation,The Great Mouse Detective
De Laurentiis Entertainment Group (DEG),John Irvin,Action,Raw Deal
Sunbow Productions,Nelson Shin,Animation,The Transformers: The Movie
TaliaFilm II Productions,Hal Needham,Drama,Rad
TriStar Pictures,Fred Dekker,Comedy,Night of the Creeps
Cannon Pictures,Tobe Hooper,Horror,Invaders from Mars
Columbia Pictures Corporation,Walter Hill,Drama,Crossroads
De Haven Productions,David Anspaugh,Drama,Hoosiers
Svenska Filminstitutet (SFI),Andrei Tarkovsky,Drama,Sacrifice
Cinema '85,James Foley,Crime,At Close Range
Blueline Productions,Peter Markle,Drama,Youngblood
Seasonal Film Corporation,Corey Yuen,Action,"No Retreat, No Surrender"
Universal Pictures,Anthony Perkins,Horror,Psicosis III
Paramount Pictures,Mike Nichols,Comedy,Heartburn
Warner Bros.,Michael Chapman,Adventure,The Clan of the Cave Bear
Golan-Globus Productions,Menahem Golan,Action,The Delta Force
Warner Bros.,Wes Craven,Drama,Deadly Friend
TriStar Pictures,Edward Zwick,Comedy,About Last Night...
Balcor Film Investors,Steve Miner,Comedy,Soul Man
A&M; Films,Savage Steve Holland,Comedy,One Crazy Summer
De Laurentiis Entertainment Group (DEG),Charles Martin Smith,Comedy,Trick or Treat
Paramount Pictures,Ron Howard,Comedy,Gung Ho
American Filmworks,Sidney Lumet,Crime,The Morning After
Police Academy Productions,Jerry Paris,Comedy,Police Academy 3: Back in Training
40 Acres & A Mule Filmworks,Spike Lee,Comedy,She's Gotta Have It
Touchstone Pictures,Jim Abrahams,Comedy,Ruthless People
